,codi,comarca,poblacio
0,01,Alt Camp,44296
1,02,Alt Empordà,141339
2,03,Alt Penedès,108411
3,04,Alt Urgell,20177
4,05,Alta Ribagorça,3802
5,06,Anoia,120738
6,07,Bages,178885
7,08,Baix Camp,190973
8,09,Baix Ebre,77596
9,10,Baix Empordà,134359
10,11,Baix Llobregat,825963
11,12,Baix Penedès,104991
12,13,Barcelonès,2278437
13,14,Berguedà,39446
14,15,Cerdanya,18192
15,16,Conca de Barberà,20042
16,17,Garraf,150887
17,18,Garrigues,18833
18,19,Garrotxa,57590
19,20,Gironès,193908
20,21,Maresme,452690
21,22,Montsià,67436
22,23,Noguera,38770
23,24,Osona,160821
24,25,Pallars Jussà,13080
25,26,Pallars Sobirà,6932
26,27,Pla d'Urgell,36693
27,28,Pla de l'Estany,32293
28,29,Priorat,9245
29,30,Ribera d'Ebre,21865
30,31,Ripollès,25087
31,32,Segarra,23052
32,33,Segrià,209818
33,34,Selva,171617
34,35,Solsonès,13469
35,36,Tarragonès,256730
36,37,Terra Alta,11490
37,38,Urgell,36693
38,39,Aran,10093
39,40,Vallès Occidental,925237
40,41,Vallès Oriental,409638
41,42,Moianès,13603
